,edad_rango,genero,lugar,arma,presunta_motivacion,fecha_muerte
178,45–64,m,OTROS LOCALES COMERCIALES,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-09
179,30–44,m,OTROS LOCALES COMERCIALES,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-09
180,12–17,m,OTROS LOCALES COMERCIALES,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-09
181,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-09
182,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-09
183,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-09
184,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-09
185,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-09
186,30–44,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-09
187,30–44,m,LAGUNA - LAGO,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-06
188,18–29,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-09
189,18–29,f,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-09
190,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-09
191,45–64,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-09
192,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-08
193,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-09
194,18–29,m,FINCA,ARMA CONTUNDENTE,DELINCUENCIA COMUN,2025-01-10
195,18–29,f,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-09
196,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-10
197,0–11,m,CASA/VILLA,OTROS,VIOLENCIA INTRAFAMILIAR,2025-01-10
198,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-09
199,18–29,m,DEPARTAMENTO EN CASA O EDIFICIO,ARMA DE FUEGO,TRANSNACIONAL,2025-01-09
200,30–44,m,DEPARTAMENTO EN CASA O EDIFICIO,ARMA DE FUEGO,TRANSNACIONAL,2025-01-09
201,18–29,m,DEPARTAMENTO EN CASA O EDIFICIO,ARMA DE FUEGO,TRANSNACIONAL,2025-01-09
202,18–29,m,DEPARTAMENTO EN CASA O EDIFICIO,ARMA DE FUEGO,TRANSNACIONAL,2025-01-09
203,18–29,m,DEPARTAMENTO EN CASA O EDIFICIO,ARMA DE FUEGO,TRANSNACIONAL,2025-01-09
204,45–64,m,VÍA PÚBLICA,OTROS,VIOLENCIA COMUNITARIA,2025-01-04
205,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-09
206,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-09
207,45–64,m,INTERIOR DE VEHÍCULO PARTICULAR,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-10
208,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-10
209,45–64,m,INTERIOR DE VEHÍCULO PARTICULAR,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-10
210,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-10
211,30–44,f,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-10
212,30–44,m,PARQUES Y PLAZAS,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-10
213,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-10
214,45–64,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-10
215,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-11
